id_isqueiro_usuario,id_local,data_uso,contexto_uso,duracao_uso,condicao_uso,ambiente,id_utilizacao
151,7,2025-09-12 18:26:08.960876,Incenso,11,Frio,Com amigos,1
266,14,2025-09-12 18:25:12.765017,Tabaco,4,Chuva,No trabalho,2
113,4,2025-09-12 18:24:15.572780,Tabaco,4,Frio,Sozinho,3
34,18,2025-09-12 18:24:35.916039,Tabaco,10,Frio,Com amigos,4
208,13,2025-09-12 18:29:06.995409,Incenso,10,Vento,Sozinho,5
88,7,2025-09-12 18:24:40.639179,Incenso,12,Frio,Sozinho,6
2,4,2025-09-12 18:27:13.331838,Tabaco,18,Vento,Em família,7
353,8,2025-09-12 18:25:47.723113,Tabaco,5,Chuva,Sozinho,8
461,15,2025-09-12 18:28:11.905034,Tabaco,3,Sol,Sozinho,9
11,6,2025-09-12 18:25:03.575788,Cigarro,5,Chuva,Com amigos,10
437,1,2025-09-12 18:23:44.479813,Social,18,Frio,Sozinho,11
448,8,2025-09-12 18:26:10.449401,Incenso,4,Normal,Sozinho,12
149,8,2025-09-12 18:25:28.456897,Social,8,Chuva,Com amigos,13
52,10,2025-09-12 18:24:26.055751,Churrasco,13,Sol,Sozinho,14
180,18,2025-09-12 18:28:14.854643,Tabaco,18,Vento,Sozinho,15
7,12,2025-09-12 18:27:49.270006,Incenso,13,Frio,Com amigos,16
439,20,2025-09-12 18:26:57.580719,Incenso,11,Frio,Com amigos,17
11,5,2025-09-12 18:24:41.054325,Cigarro,10,Chuva,Sozinho,18
16,8,2025-09-12 18:27:28.268829,Social,16,Vento,Sozinho,19
46,7,2025-09-12 18:28:31.360243,Cigarro,15,Normal,No trabalho,20
450,18,2025-09-12 18:26:11.421760,Churrasco,17,Frio,Sozinho,21
467,12,2025-09-12 18:23:35.997145,Churrasco,15,Frio,Sozinho,22
142,10,2025-09-12 18:28:46.183531,Tabaco,19,Vento,Em família,23
63,14,2025-09-12 18:23:50.929993,Piquenique,14,Vento,Sozinho,24
5,16,2025-09-12 18:26:24.796524,Cigarro,7,Sol,Com amigos,25
268,10,2025-09-12 18:23:57.125270,Social,8,Vento,Sozinho,26
34,10,2025-09-12 18:27:23.093117,Tabaco,4,Chuva,Sozinho,27
304,4,2025-09-12 18:29:26.363682,Tabaco,12,Normal,Sozinho,28
339,1,2025-09-12 18:27:45.640890,Tabaco,7,Vento,Em família,29
403,17,2025-09-12 18:24:14.267693,Social,20,Chuva,No trabalho,30
366,9,2025-09-12 18:29:02.397979,Tabaco,9,Sol,Sozinho,31
42,10,2025-09-12 18:24:15.793590,Tabaco,18,Vento,Sozinho,32
348,13,2025-09-12 18:29:08.732138,Incenso,6,Vento,No trabalho,33
306,10,2025-09-12 18:23:56.174797,Tabaco,16,Vento,Em família,34
72,7,2025-09-12 18:27:38.520323,Tabaco,16,Frio,Sozinho,35
157,3,2025-09-12 18:28:30.616109,Tabaco,17,Frio,Sozinho,36
401,14,2025-09-12 18:28:43.762246,Tabaco,19,Sol,Com amigos,37
258,12,2025-09-12 18:23:33.646262,Incenso,16,Sol,Sozinho,38
211,15,2025-09-12 18:24:47.880165,Tabaco,20,Normal,No trabalho,39
216,3,2025-09-12 18:25:57.161951,Piquenique,12,Chuva,Sozinho,40
192,5,2025-09-12 18:25:32.893301,Social,12,Normal,Com amigos,41
202,5,2025-09-12 18:28:26.217217,Incenso,3,Sol,Em família,42
448,17,2025-09-12 18:25:54.512373,Incenso,4,Normal,Sozinho,43
425,4,2025-09-12 18:24:53.339155,Incenso,6,Vento,Sozinho,44
354,11,2025-09-12 18:26:46.967157,Churrasco,6,Frio,Com amigos,45
379,2,2025-09-12 18:24:56.000068,Piquenique,19,Chuva,Sozinho,46
496,16,2025-09-12 18:25:05.547659,Tabaco,7,Vento,Com amigos,47
369,1,2025-09-12 18:29:18.027241,Churrasco,9,Normal,Sozinho,48
79,20,2025-09-12 18:26:10.967191,Churrasco,19,Normal,Sozinho,49
54,16,2025-09-12 18:27:32.979701,Tabaco,19,Sol,Sozinho,50
475,4,2025-09-12 18:25:26.891781,Tabaco,18,Chuva,Em família,51
431,18,2025-09-12 18:25:33.928519,Tabaco,17,Frio,Sozinho,52
75,1,2025-09-12 18:26:30.779506,Tabaco,10,Chuva,Sozinho,53
359,18,2025-09-12 18:28:35.193949,Tabaco,18,Vento,Sozinho,54
52,19,2025-09-12 18:25:50.818438,Incenso,11,Sol,Sozinho,55
410,4,2025-09-12 18:29:09.412333,Incenso,16,Chuva,Sozinho,56
235,4,2025-09-12 18:28:58.685857,Social,3,Frio,Sozinho,57
331,20,2025-09-12 18:27:30.305723,Incenso,14,Chuva,Sozinho,58
371,15,2025-09-12 18:27:24.675514,Tabaco,8,Vento,Sozinho,59
441,17,2025-09-12 18:28:48.908394,Tabaco,19,Sol,Sozinho,60
90,5,2025-09-12 18:26:56.403555,Incenso,13,Sol,Com amigos,61
403,5,2025-09-12 18:26:30.660156,Tabaco,12,Sol,Sozinho,62
430,16,2025-09-12 18:25:51.388943,Incenso,18,Frio,Com amigos,63
295,17,2025-09-12 18:24:12.702965,Piquenique,19,Vento,Sozinho,64
166,19,2025-09-12 18:28:43.723106,Cigarro,14,Frio,Com amigos,65
207,3,2025-09-12 18:27:03.688154,Tabaco,8,Chuva,Sozinho,66
55,16,2025-09-12 18:27:28.126620,Cigarro,18,Vento,Com amigos,67
396,8,2025-09-12 18:26:29.346826,Tabaco,8,Sol,Com amigos,68
216,3,2025-09-12 18:27:00.830175,Tabaco,11,Normal,Sozinho,69
384,3,2025-09-12 18:24:02.140372,Incenso,14,Frio,Com amigos,70
16,6,2025-09-12 18:28:46.078787,Incenso,17,Sol,Sozinho,71
327,19,2025-09-12 18:27:12.843496,Social,9,Vento,Sozinho,72
348,10,2025-09-12 18:28:51.538146,Tabaco,8,Sol,Em família,73
415,7,2025-09-12 18:23:29.368018,Tabaco,3,Normal,Sozinho,74
415,5,2025-09-12 18:24:33.327883,Churrasco,14,Sol,Sozinho,75
443,3,2025-09-12 18:24:09.555370,Incenso,19,Sol,Sozinho,76
107,19,2025-09-12 18:25:58.051063,Churrasco,19,Vento,Sozinho,77
461,18,2025-09-12 18:28:17.174404,Churrasco,5,Sol,Sozinho,78
193,3,2025-09-12 18:27:33.743864,Social,7,Frio,Sozinho,79
61,16,2025-09-12 18:24:37.386500,Tabaco,20,Vento,Sozinho,80
421,10,2025-09-12 18:25:04.845277,Cigarro,11,Sol,Com amigos,81
35,6,2025-09-12 18:26:54.097312,Cigarro,5,Frio,Sozinho,82
437,17,2025-09-12 18:28:34.348480,Cigarro,19,Vento,Sozinho,83
30,18,2025-09-12 18:24:49.815707,Social,6,Frio,Sozinho,84
470,9,2025-09-12 18:25:55.610792,Social,4,Vento,Sozinho,85
103,11,2025-09-12 18:23:50.990314,Churrasco,4,Chuva,Sozinho,86
419,11,2025-09-12 18:26:52.342079,Cigarro,4,Chuva,Sozinho,87
413,19,2025-09-12 18:25:28.627119,Cigarro,4,Vento,No trabalho,88
487,14,2025-09-12 18:25:35.498392,Social,5,Frio,Sozinho,89
67,9,2025-09-12 18:28:40.263443,Piquenique,6,Normal,Sozinho,90
116,12,2025-09-12 18:27:45.126698,Incenso,12,Chuva,Sozinho,91
29,1,2025-09-12 18:26:16.592939,Piquenique,9,Frio,Com amigos,92
195,1,2025-09-12 18:24:08.438456,Social,4,Sol,Com amigos,93
357,5,2025-09-12 18:23:59.841981,Incenso,16,Frio,Sozinho,94
225,4,2025-09-12 18:23:55.511182,Churrasco,14,Vento,Sozinho,95
224,2,2025-09-12 18:26:04.506736,Tabaco,5,Frio,Sozinho,96
212,18,2025-09-12 18:28:06.265022,Social,3,Chuva,Em família,97
40,2,2025-09-12 18:24:04.913692,Tabaco,8,Vento,Sozinho,98
180,20,2025-09-12 18:25:00.024586,Social,10,Vento,Sozinho,99
204,16,2025-09-12 18:29:21.752470,Social,5,Normal,Sozinho,100
279,7,2025-09-12 18:27:03.274829,Incenso,14,Chuva,Sozinho,101
155,12,2025-09-12 18:24:48.241393,Piquenique,12,Chuva,Sozinho,102
137,11,2025-09-12 18:26:17.347837,Social,19,Normal,Sozinho,103
462,14,2025-09-12 18:26:25.432579,Piquenique,18,Vento,Sozinho,104
467,5,2025-09-12 18:25:34.300122,Churrasco,19,Chuva,Sozinho,105
284,7,2025-09-12 18:26:08.522683,Tabaco,7,Normal,No trabalho,106
358,15,2025-09-12 18:23:54.758325,Social,17,Normal,Sozinho,107
429,2,2025-09-12 18:26:43.794359,Tabaco,15,Vento,Em família,108
44,2,2025-09-12 18:27:33.968990,Tabaco,15,Sol,Sozinho,109
196,13,2025-09-12 18:25:53.318100,Incenso,10,Chuva,Sozinho,110
