id_usuario,nome,genero,idade,faixa_idade,perfil_fumante,marca_isqueiro,cor_isqueiro,tipo_isqueiro,preco_compra,data_compra,data_uso,tempo_posse,contexto_uso,proposito_uso,num_ascendimentos,frequencia_uso,mes_ano,perdeu,dias_ate_perda,data_perda,local_perda,intensidade_uso,categoria_preco,categoria_idade,mes_compra,probabilidade_perda,predicao_perda,acerto_modelo
USER_0001,Usuario_1,M,46,36-50,Moderado,Cricket,Verde,Descartavel,1.31,2025-04-19 22:48:55.783059,2025-07-07 22:48:55.783059,79,Casa,Tabaco,156,1.97,2025-07,True,30,2025-05-19 22:48:55.783059,Quarto,1.9746835443037976,Barato,Adulto,4,0.4151248620330348,False,False
USER_0002,Usuario_2,F,38,36-50,Social,Clipper,Verde,Recarregavel,8.36,2024-11-04 22:48:55.783059,2025-02-07 22:48:55.783059,95,Casa,Vela,146,1.54,2025-02,False,0,,N/A,1.5368421052631578,Medio,Adulto,11,0.29813515629385917,False,True
USER_0003,Usuario_3,M,61,51+,Social,Clipper,Branco,Recarregavel,9.22,2025-01-29 22:48:55.783059,2025-02-23 22:48:55.783059,25,Social,Incenso,37,1.48,2025-02,True,21,2025-02-19 22:48:55.783059,Social,1.48,Medio,Maduro,1,0.50746055096227,True,True
USER_0004,Usuario_4,F,45,36-50,Social,Bic,Verde,Descartavel,3.67,2024-10-21 22:48:55.783059,2025-01-11 22:48:55.783059,82,Trabalho,Vela,119,1.45,2025-01,True,4,2024-10-25 22:48:55.783059,Trabalho,1.451219512195122,Barato,Adulto,10,0.3685266461661344,False,False
USER_0005,Usuario_5,M,35,26-35,Esporadico,Ronson,Amarelo,Recarregavel,16.35,2025-07-17 22:48:55.783059,2025-08-30 22:48:55.783059,44,Casa,Vela,25,0.57,2025-08,True,18,2025-08-04 22:48:55.783059,Cozinha,0.5681818181818182,Caro,Adulto_Jovem,7,0.7501716068869627,True,True
USER_0006,Usuario_6,M,41,36-50,Moderado,Bic,Vermelho,Descartavel,2.55,2025-02-20 22:48:55.783059,2025-03-11 22:48:55.783059,19,Rua,Cigarro,31,1.63,2025-03,True,11,2025-03-03 22:48:55.783059,Calcada,1.631578947368421,Barato,Adulto,2,0.6690200059903322,True,True
USER_0007,Usuario_7,M,25,18-25,Esporadico,Cricket,Verde,Descartavel,2.85,2024-10-27 22:48:55.783059,2024-11-28 22:48:55.783059,32,Casa,Cigarro,32,1.0,2024-11,True,24,2024-11-20 22:48:55.783059,Casa,1.0,Barato,Jovem,10,0.6842446232593966,True,True
USER_0008,Usuario_8,M,61,51+,Social,Ronson,Azul,Recarregavel,15.27,2025-01-25 22:48:55.783059,2025-02-24 22:48:55.783059,30,Casa,Cigarro,50,1.67,2025-02,False,0,,N/A,1.6666666666666667,Caro,Maduro,1,0.62475828455616,True,False
USER_0009,Usuario_9,F,59,51+,Social,Bic,Dourado,Descartavel,3.27,2024-11-07 22:48:55.783059,2025-02-15 22:48:55.783059,100,Trabalho,Vela,157,1.57,2025-02,True,13,2024-11-20 22:48:55.783059,Cafeteria,1.57,Barato,Maduro,11,0.35796006684128845,False,False
USER_0010,Usuario_10,M,39,36-50,Esporadico,Clipper,Amarelo,Recarregavel,8.77,2025-01-28 22:48:55.783059,2025-03-01 22:48:55.783059,32,Parque,Vela,31,0.97,2025-03,False,0,,N/A,0.96875,Medio,Adulto,1,0.6483558637353304,True,False
