id_usuario,nome,genero,idade,faixa_idade,perfil_fumante,marca_isqueiro,cor_isqueiro,tipo_isqueiro,preco_compra,data_compra,data_uso,tempo_posse,contexto_uso,proposito_uso,num_ascendimentos,frequencia_uso,mes_ano,perdeu,dias_ate_perda,data_perda,local_perda
USER_0001,Usuario_1,M,46,36-50,Moderado,Cricket,Verde,Descartavel,1.31,2025-04-19 22:48:55.783059,2025-07-07 22:48:55.783059,79,Casa,Tabaco,156,1.97,2025-07,True,30,2025-05-19 22:48:55.783059,Quarto
USER_0002,Usuario_2,F,38,36-50,Social,Clipper,Verde,Recarregavel,8.36,2024-11-04 22:48:55.783059,2025-02-07 22:48:55.783059,95,Casa,Vela,146,1.54,2025-02,False,0,,N/A
USER_0003,Usuario_3,M,61,51+,Social,Clipper,Branco,Recarregavel,9.22,2025-01-29 22:48:55.783059,2025-02-23 22:48:55.783059,25,Social,Incenso,37,1.48,2025-02,True,21,2025-02-19 22:48:55.783059,Social
USER_0004,Usuario_4,F,45,36-50,Social,Bic,Verde,Descartavel,3.67,2024-10-21 22:48:55.783059,2025-01-11 22:48:55.783059,82,Trabalho,Vela,119,1.45,2025-01,True,4,2024-10-25 22:48:55.783059,Trabalho
USER_0005,Usuario_5,M,35,26-35,Esporadico,Ronson,Amarelo,Recarregavel,16.35,2025-07-17 22:48:55.783059,2025-08-30 22:48:55.783059,44,Casa,Vela,25,0.57,2025-08,True,18,2025-08-04 22:48:55.783059,Cozinha
USER_0006,Usuario_6,M,41,36-50,Moderado,Bic,Vermelho,Descartavel,2.55,2025-02-20 22:48:55.783059,2025-03-11 22:48:55.783059,19,Rua,Cigarro,31,1.63,2025-03,True,11,2025-03-03 22:48:55.783059,Calcada
USER_0007,Usuario_7,M,25,18-25,Esporadico,Cricket,Verde,Descartavel,2.85,2024-10-27 22:48:55.783059,2024-11-28 22:48:55.783059,32,Casa,Cigarro,32,1.0,2024-11,True,24,2024-11-20 22:48:55.783059,Casa
USER_0008,Usuario_8,M,61,51+,Social,Ronson,Azul,Recarregavel,15.27,2025-01-25 22:48:55.783059,2025-02-24 22:48:55.783059,30,Casa,Cigarro,50,1.67,2025-02,False,0,,N/A
USER_0009,Usuario_9,F,59,51+,Social,Bic,Dourado,Descartavel,3.27,2024-11-07 22:48:55.783059,2025-02-15 22:48:55.783059,100,Trabalho,Vela,157,1.57,2025-02,True,13,2024-11-20 22:48:55.783059,Cafeteria
USER_0010,Usuario_10,M,39,36-50,Esporadico,Clipper,Amarelo,Recarregavel,8.77,2025-01-28 22:48:55.783059,2025-03-01 22:48:55.783059,32,Parque,Vela,31,0.97,2025-03,False,0,,N/A
USER_0011,Usuario_11,F,42,36-50,Moderado,Bic,Azul,Descartavel,3.3,2025-01-15 22:48:55.783059,2025-04-06 22:48:55.783059,81,Trabalho,Cigarro,178,2.2,2025-04,True,51,2025-03-07 22:48:55.783059,Trabalho
USER_0012,Usuario_12,F,41,36-50,Nao_fumante,Bic,Dourado,Descartavel,3.12,2025-03-15 22:48:55.783059,2025-07-10 22:48:55.783059,117,Casa,Incenso,24,0.21,2025-07,False,0,,N/A
USER_0013,Usuario_13,M,34,26-35,Moderado,Generico,Vermelho,Descartavel,0.6,2025-04-28 22:48:55.783059,2025-08-07 22:48:55.783059,101,Trabalho,Cigarro,208,2.06,2025-08,False,0,,N/A
USER_0014,Usuario_14,M,21,18-25,Pesado,Zippo,Azul,Recarregavel,50.96,2025-06-23 22:48:55.783059,2025-09-29 22:48:55.783059,98,Trabalho,Cigarro,301,3.07,2025-09,False,0,,N/A
USER_0015,Usuario_15,F,23,18-25,Social,Ronson,Vermelho,Recarregavel,15.86,2025-02-10 22:48:55.783059,2025-08-06 22:48:55.783059,177,Trabalho,Vela,272,1.54,2025-08,False,0,,N/A
USER_0016,Usuario_16,M,28,26-35,Moderado,Bic,Prata,Descartavel,3.08,2025-07-11 22:48:55.783059,2025-10-22 22:48:55.783059,103,Carro,Cigarro,194,1.88,2025-10,True,1,2025-07-12 22:48:55.783059,Veiculo
USER_0017,Usuario_17,F,22,18-25,Nao_fumante,Clipper,Azul,Recarregavel,8.06,2025-02-10 22:48:55.783059,2025-04-03 22:48:55.783059,52,Parque,Camping,14,0.27,2025-04,False,0,,N/A
USER_0018,Usuario_18,F,37,36-50,Social,Zippo,Azul,Recarregavel,50.83,2025-03-29 22:48:55.783059,2025-06-20 22:48:55.783059,83,Casa,Cigarro,113,1.36,2025-06,False,0,,N/A
USER_0019,Usuario_19,F,24,18-25,Esporadico,Bic,Dourado,Descartavel,2.19,2024-10-08 22:48:55.783059,2025-01-30 22:48:55.783059,114,Casa,Vela,91,0.8,2025-01,False,0,,N/A
USER_0020,Usuario_20,M,50,36-50,Moderado,Cricket,Branco,Descartavel,2.14,2025-03-27 22:48:55.783059,2025-05-19 22:48:55.783059,53,Social,Tabaco,105,1.98,2025-05,False,0,,N/A
USER_0021,Usuario_21,M,63,51+,Nao_fumante,Generico,Azul,Descartavel,0.65,2025-05-27 22:48:55.783059,2025-08-24 22:48:55.783059,89,Casa,Vela,21,0.24,2025-08,True,54,2025-07-20 22:48:55.783059,Quarto
USER_0022,Usuario_22,M,57,51+,Pesado,Bic,Prata,Descartavel,3.98,2025-01-21 22:48:55.783059,2025-02-21 22:48:55.783059,31,Parque,Cigarro,87,2.81,2025-02,False,0,,N/A
USER_0023,Usuario_23,M,46,36-50,Moderado,Zippo,Preto,Recarregavel,51.23,2024-09-29 22:48:55.783059,2024-12-27 22:48:55.783059,89,Parque,Tabaco,178,2.0,2024-12,False,0,,N/A
USER_0024,Usuario_24,F,31,26-35,Esporadico,Bic,Vermelho,Descartavel,3.16,2025-07-01 22:48:55.783059,2025-09-30 22:48:55.783059,91,Casa,Outro,77,0.85,2025-09,False,0,,N/A
USER_0025,Usuario_25,F,39,36-50,Moderado,Bic,Prata,Descartavel,2.72,2024-12-26 22:48:55.783059,2025-04-06 22:48:55.783059,101,Festa,Cigarro,217,2.15,2025-04,False,0,,N/A
